Ação;Data Entrada;Valor Entrada;Quantidade;Investimento Total;Ação Vendida;Ação na carteira;Valor_Atualizado;Investimento_Atualizado;LucroPreju;Percentual_Lucro_Ou_Preju
B3SA3.SA;2020-03-18;30.9;8;247.2;0;True;17.25;138.0;-109.2;-44.17
B3SA3.SA;2020-09-16;57.67;5;288.35;0;True;17.25;86.25;-202.1;-70.09
ITSA4.SA;2020-04-20;8.97;60;538.2;0;True;10.78;646.8;108.6;20.18
IRBR3.SA;2020-04-23;10.59;40;423.6;0;True;6.09;243.6;-180.0;-42.49
IRBR3.SA;2021-03-17;6.04;2;12.08;0;True;6.09;12.18;0.1;0.83
IVVB11.SA;2020-05-04;168.67;1;168.67;0;True;238.0;238.0;69.33;41.1
BRFS3.SA;2020-06-05;22.64;14;316.96;0;True;23.16;324.24;7.28;2.3
BRFS3.SA;2021-03-16;24.37;2;48.74;0;True;23.16;46.32;-2.42;-4.97
KLBN11.SA;2020-06-05;19.16;18;344.88;0;True;26.16;470.88;126.0;36.53
BBDC4.SA;2021-01-04;26.36;3;79.08;0;True;25.81;77.43;-1.65;-2.09
BBDC4.SA;2021-03-17;25.63;6;153.78;0;True;25.81;154.86;1.08;0.7
LAME4.SA;2021-02-17;24.34;3;73.02;0;True;18.82;56.46;-16.56;-22.68
SANB11.SA;2021-03-16;38.57;2;77.14;0;True;40.81;81.62;4.48;5.81
CPLE6.SA;2021-04-07;6.39;1;6.39;0;True;6.11;6.11;-0.28;-4.38
BEEF3.SA;2021-04-16;10.69;9;96.21;0;True;9.6;86.4;-9.81;-10.2
